Partido,Pisos con revestimiento,Agua por canieria dentro de la vivienda,Agua para beber y cocinar por red publica,Banio o letrina dentro de la vivienda,Dos o mas banios,Banio con inodoro con arrastre de agua,Desague del inodoro del banio a red publica,Gas de red o electricidad para cocinar,Vivienda propia,Internet,Celular con internet,Computadora o tablet u otros
Roque Pérez,93.5,95.6,60.0,98.5,18.4,96.3,60.2,64.7,63.7,84.7,89.8,55.1
Saavedra,97.2,98.6,94.7,99.4,25.7,99.1,74.3,85.7,64.0,85.4,90.4,65.0
Saladillo,92.9,97.1,88.8,98.9,22.2,96.6,64.2,65.1,65.2,77.8,87.3,56.1
Salliqueló,96.1,96.9,88.0,99.3,20.1,97.2,50.7,82.7,67.9,85.1,89.7,60.8
Salto,90.0,95.9,91.9,97.9,22.1,93.5,49.2,52.9,65.5,83.9,90.0,55.1
San Andrés de Giles,86.6,93.0,72.9,96.2,20.9,90.9,44.5,51.3,61.2,82.2,89.3,55.4
San Antonio de Areco,93.6,97.5,82.1,98.5,27.7,97.0,46.4,66.7,65.9,83.6,90.8,63.8
San Cayetano,94.9,98.6,87.7,99.2,22.0,98.0,80.8,80.2,69.4,79.5,88.6,60.8
San Nicolás,88.7,96.6,97.8,97.6,23.1,93.7,90.8,74.7,69.1,76.6,89.0,57.4
San Pedro,86.4,94.6,93.3,96.0,21.4,90.9,79.0,50.6,68.2,72.9,86.1,50.1
San Vicente,71.6,84.7,46.6,95.7,17.1,79.6,43.7,41.3,77.4,72.6,90.9,47.6
Suipacha,92.1,95.7,75.9,98.2,25.4,95.8,53.4,71.3,67.3,83.7,89.8,59.3
Tandil,95.9,97.7,94.0,99.1,29.2,97.2,86.0,82.0,57.8,83.2,91.9,68.0
Tapalqué,93.4,94.0,76.8,98.3,20.0,97.0,73.1,76.0,64.2,77.9,86.8,51.6
Tordillo,88.3,91.0,61.7,97.6,11.1,91.8,30.7,42.3,68.5,69.6,91.2,42.5
Tornquist,95.7,98.3,90.0,99.2,23.5,98.4,48.2,66.3,61.4,87.3,91.3,63.5
Trenque Lauquen,96.0,97.7,77.9,99.2,25.2,97.8,86.6,78.7,64.1,86.4,91.4,62.8
Tres Arroyos,96.1,97.9,92.0,99.1,28.5,97.2,71.4,77.6,66.7,83.0,90.4,65.2
Tres Lomas,93.6,97.2,92.1,99.0,16.9,96.6,61.9,78.7,69.8,82.2,87.6,57.1
25 de Mayo,90.9,95.4,87.0,98.0,23.1,95.1,57.7,53.1,64.9,72.8,85.5,53.8
Villa Gesell,90.0,96.2,89.1,98.8,29.1,94.2,59.9,53.3,60.0,79.9,91.7,58.9
Villarino,85.9,87.8,88.3,87.9,17.2,90.0,33.3,49.3,65.0,74.8,88.0,47.2
Zárate,85.2,93.4,88.0,96.0,24.2,87.6,63.2,57.7,70.0,79.3,90.9,57.9
